高管姓名,时间,动态类型,具体事项详情,信息来源
曹仁贤,2026 年 1 月 8 日,行业峰会 / 合作伙伴大会,主持阳光电源 2026 全球合作伙伴大会，面向超 1000 名海内外合作伙伴发表主旨演讲，致谢合作方支持，发布 2026-2030 年公司光风储电氢五大赛道核心战略，号召全产业链联合创新、深化全球协同、锻造共生力量,阳光电源官网阳光电源
曹仁贤,2026 年 2 月 23 日,合作伙伴拜访 / 技术交流,接待中国科学院院士、阿基米德半导体联合创始人刘胜一行，双方围绕金刚石半导体、新型电力电子关键器件、嵌入式 SiC 与系统级散热等核心技术方向，以及新能源电力系统对高可靠功率器件的需求趋势开展深度座谈交流,阿基米德半导体 (合肥) 有限公司官网
曹仁贤,2026 年 3 月 6 日,公司治理 / 董事会会议,主持召开阳光电源第五届董事会第二十二次会议，审议通过《关于向 2025 年限制性股票激励计划激励对象授予预留限制性股票的议案》，正式确定 2026 年 3 月 6 日为预留限制性股票授予日,深交所公告、新浪财经
曹仁贤,2026 年 3 月 13 日,公司治理 / 董事会会议,主持召开阳光电源第五届董事会第二十三次会议，审议通过《关于开展商品期货和衍生品套期保值业务的议案》，批准公司开展交易保证金上限 20 亿元、最高合约价值不超过 100 亿元的套期保值业务,深交所公告、东方财富网
曹仁贤,2026 年 3 月 18 日,行业协会任职,正式当选为中国光伏行业协会新一届理事长,东方财富网
徐清清,2026 年 3 月 13 日,行业活动预热 / 品牌发声,发布第十四届储能国际峰会暨展览会（ESIE 2026）官方邀约视频，解读 2026 年储能行业发展趋势，官宣阳光电源冠名展会 B2 储能应用馆并将携核心方案亮相,阳光电源官方抖音账号
徐清清,2026 年 3 月 27 日,行业发声 / 媒体专访,接受《产业家》深度专访，解读储能行业发展底层逻辑与公司战略布局，披露阳光电源 2026 年将进入场景化成果集中爆发期，官宣 4 月 1 日北京 ESIE 展会将发布两大突破性成果：行业首个储能变流平台暨 PCS 新品、行业首个覆盖全维 & 全生命周期的储能安全白皮书,腾讯新闻
徐清清,2026 年 3 月 31 日 - 4 月 3 日（筹备期）,行业展会 / 新品发布,牵头筹备阳光电源参展第十四届储能国际峰会暨展览会（ESIE 2026）全流程工作，负责核心新品发布、行业技术交流、合作伙伴对接等核心环节,中储创联展会公告、腾讯新闻
张许成,2026 年 3 月 21 日 - 24 日,政企合作 / 商务洽谈,与亳州市委副书记、市长汪继宏一行开展座谈交流，双方就新能源产业链招商、项目合作落地、区域清洁能源产业发展等事项进行深度对接，洽谈推进新能源领域合作项目,亳州新闻网
顾亦磊（Jack Gu）,2025 年 11 月 19 日 - 2026 年 2 月 18 日,合规股份变动,因个人资金需求，执行预披露的股份减持计划，减持周期截至 2026 年 2 月 18 日，拟减持股份数量不超过 15.75 万股，占公司总股本比例 0.0077%,深交所公告、深圳证券交易所官网
吴家貌（James Wu）,2025 年 11 月 19 日 - 2026 年 2 月 18 日,合规股份变动,因个人资金需求，执行预披露的股份减持计划，减持周期截至 2026 年 2 月 18 日，拟减持股份数量不超过 13.12 万股，占公司总股本比例 0.0064%,深交所公告、深圳证券交易所官网
王梓寒（Hank Wang）,-,-,截至 2026 年 3 月 27 日，公司官网、权威媒体、监管公告等公开渠道，暂无其 2026 年客户拜访、出席活动、商务交流等相关动态披露,-
许月志（Luis Xu）,-,-,截至 2026 年 3 月 27 日，公司官网、权威媒体、监管公告等公开渠道，暂无其 2026 年客户拜访、出席活动、商务交流等相关动态披露,-
孟令来（Thompsom Meng）,-,-,截至 2026 年 3 月 27 日，公司官网、权威媒体、监管公告等公开渠道，暂无其 2026 年客户拜访、出席活动、商务交流等相关动态披露,-
史晓锋（Shawn Shi）,-,-,截至 2026 年 3 月 27 日，公司官网、权威媒体、监管公告等公开渠道，暂无其 2026 年客户拜访、出席活动、商务交流等相关动态披露,-
孙文濮,-,-,截至 2026 年 3 月 27 日，公司官网、权威媒体、监管公告等公开渠道，暂无其 2026 年客户拜访、出席活动、商务交流等相关动态披露,-
赵辉,-,-,截至 2026 年 3 月 27 日，公司官网、权威媒体、监管公告等公开渠道，暂无其 2026 年客户拜访、出席活动、商务交流等相关动态披露,-